basicid,GEOID,Category,Category Type,Openings_2024_zscore,Jobs_2024_zscore
207679,48085030207,All Jobs,All Jobs,-1.2101455833,-1.1623768109000001
208977,48085030301,All Jobs,All Jobs,-1.2301541511,-1.1686510662
210275,48085030302,All Jobs,All Jobs,-0.9322828915,-0.9362159591
211573,48085030303,All Jobs,All Jobs,-0.7099166951,-0.7409181293
212871,48085030306,All Jobs,All Jobs,-1.1774047804,-1.1253808799
214169,48085030307,All Jobs,All Jobs,-1.223018856,-1.175378551
215467,48085030403,All Jobs,All Jobs,-0.3316765691,-0.4080313696
216765,48085030404,All Jobs,All Jobs,-0.1955052316,-0.25527617010000003
218063,48085030405,All Jobs,All Jobs,0.1509248035,0.0255164517
219361,48085030540,All Jobs,All Jobs,0.158980048,0.029492336900000003
220659,48085030406,All Jobs,All Jobs,0.3795924889,0.2679508588
221957,48085030407,All Jobs,All Jobs,0.1534250654,0.059811943900000004
223255,48085030409,All Jobs,All Jobs,0.1887741591,0.1218287542
224553,48085030410,All Jobs,All Jobs,0.5713013334,0.3280397021
225851,48085030504,All Jobs,All Jobs,1.4279392319,1.1122085268
227149,48085030505,All Jobs,All Jobs,1.3517739457,1.1128497378
228447,48085030506,All Jobs,All Jobs,0.7100192463,0.5491398019
229745,48085030511,All Jobs,All Jobs,-0.0967603276,-0.1356709456
231043,48085030512,All Jobs,All Jobs,-0.07793038120000001,-0.13326966310000002
232341,48085030515,All Jobs,All Jobs,-0.24386080170000002,-0.3493242002
233639,48085030516,All Jobs,All Jobs,-0.358461601,-0.4243705002
234937,48085030517,All Jobs,All Jobs,-0.3424317175,-0.4028284978
236235,48085030518,All Jobs,All Jobs,-0.2930711526,-0.3491874263
237533,48085030519,All Jobs,All Jobs,-0.6166440401000001,-0.6281436998000001
238831,48085030520,All Jobs,All Jobs,-0.655476249,-0.6592987169
240129,48085030521,All Jobs,All Jobs,-0.5530260409000001,-0.5769972258
241427,48085030524,All Jobs,All Jobs,-0.6553517279000001,-0.6815220847
242725,48085030525,All Jobs,All Jobs,-0.7317643955,-0.7557661798
244023,48085030529,All Jobs,All Jobs,-0.4998109417,-0.5517787625
245321,48085030531,All Jobs,All Jobs,-0.6467896347000001,-0.6670804265
246619,48085030534,All Jobs,All Jobs,-0.622000081,-0.6423186593
247917,48085030535,All Jobs,All Jobs,-0.6474609628,-0.6767669579000001
249215,48085030536,All Jobs,All Jobs,-0.6201038080000001,-0.6201011698000001
250513,48085030537,All Jobs,All Jobs,-0.6748740663,-0.6965288194
