,GEOID,Category,Category Type,Openings_2024_zscore,Jobs_2024_zscore,Openings_2024_zscore_color
111625,48121020126,Living Wage,Living Wage Occupations,-0.8326535582,-0.8180781036,-1.5SD ~ -0.5SD
112923,48121021722,Living Wage,Living Wage Occupations,-0.4078011409,-0.41109581510000004,-0.5SD ~ +0.5SD
114221,48113014150,Living Wage,Living Wage Occupations,2.7988169131,3.1707720305000002,>=+2.5SD
115519,48121020305,Living Wage,Living Wage Occupations,-0.9963351881,-0.9500413388000001,-1.5SD ~ -0.5SD
116817,48121020310,Living Wage,Living Wage Occupations,-0.8752180966,-0.9005218402,-1.5SD ~ -0.5SD
118115,48113016711,Living Wage,Living Wage Occupations,-0.3775379741,-0.3377494556,-0.5SD ~ +0.5SD
119413,48113016805,Living Wage,Living Wage Occupations,-0.5885775864,-0.538438226,-1.5SD ~ -0.5SD
120711,48121021723,Living Wage,Living Wage Occupations,0.0260573375,-0.034652421100000004,-0.5SD ~ +0.5SD
122009,48113017812,Living Wage,Living Wage Occupations,-0.4920226962,-0.4467524921,-0.5SD ~ +0.5SD
123307,48113011002,Living Wage,Living Wage Occupations,-0.1376438512,-0.12992184240000001,-0.5SD ~ +0.5SD
124605,48113007906,Living Wage,Living Wage Occupations,1.2626904373,1.2841359427,+0.5SD ~ +1.5SD
125903,48113007909,Living Wage,Living Wage Occupations,1.3409482995,1.362988759,+0.5SD ~ +1.5SD
127201,48113012501,Living Wage,Living Wage Occupations,-0.3345842183,-0.3219319496,-0.5SD ~ +0.5SD
128499,48113012502,Living Wage,Living Wage Occupations,-0.2820445432,-0.2778260426,-0.5SD ~ +0.5SD
129797,48113012601,Living Wage,Living Wage Occupations,-0.3295436973,-0.26956644020000003,-0.5SD ~ +0.5SD
131095,48113018110,Living Wage,Living Wage Occupations,-0.6381969143,-0.5499389627,-1.5SD ~ -0.5SD
132393,48085031722,Living Wage,Living Wage Occupations,2.5316494792,2.3767157478,>=+2.5SD
133691,48113013400,Living Wage,Living Wage Occupations,2.577847463,2.7265570176000002,>=+2.5SD
134989,48113013500,Living Wage,Living Wage Occupations,1.1798291810000001,1.2538871554,+0.5SD ~ +1.5SD
136287,48113018505,Living Wage,Living Wage Occupations,0.2439731165,0.2843802029,-0.5SD ~ +0.5SD
137585,48113013902,Living Wage,Living Wage Occupations,1.1698806232,1.334223387,+0.5SD ~ +1.5SD
138883,48113014001,Living Wage,Living Wage Occupations,1.2694399172,1.4037483249,+0.5SD ~ +1.5SD
140181,48113014002,Living Wage,Living Wage Occupations,1.7089282382,1.9640421951,+1.5SD ~ +2.5SD
141479,48113001302,Living Wage,Living Wage Occupations,0.5678881506,0.5230407738,+0.5SD ~ +1.5SD
142777,48113006401,Living Wage,Living Wage Occupations,-0.3142203643,-0.2830020854,-0.5SD ~ +0.5SD
144075,48113006402,Living Wage,Living Wage Occupations,-0.317576269,-0.2884740764,-0.5SD ~ +0.5SD
145373,48085030532,Living Wage,Living Wage Occupations,0.19329211400000001,0.0529790387,-0.5SD ~ +0.5SD
146671,48085030533,Living Wage,Living Wage Occupations,0.1373312236,0.0055565399,-0.5SD ~ +0.5SD
147969,48085031641,Living Wage,Living Wage Occupations,0.11229296550000001,0.022783360500000002,-0.5SD ~ +0.5SD
149267,48085031723,Living Wage,Living Wage Occupations,1.5188420414000001,1.4619460411,+1.5SD ~ +2.5SD
150565,48113000703,Living Wage,Living Wage Occupations,1.2859558668,1.2991231739,+0.5SD ~ +1.5SD
151863,48113000704,Living Wage,Living Wage Occupations,2.1351826686,1.9826277548000002,+1.5SD ~ +2.5SD
153161,48113005000,Living Wage,Living Wage Occupations,0.4424005505,0.4409521416,-0.5SD ~ +0.5SD
154459,48113006900,Living Wage,Living Wage Occupations,0.2875175173,0.30881186310000003,-0.5SD ~ +0.5SD
155757,48113007101,Living Wage,Living Wage Occupations,0.9737121458,1.0042897397,+0.5SD ~ +1.5SD
157055,48113008500,Living Wage,Living Wage Occupations,-0.2523281224,-0.2214112808,-0.5SD ~ +0.5SD
158353,48113008604,Living Wage,Living Wage Occupations,0.041948730100000005,0.041824138500000003,-0.5SD ~ +0.5SD
159651,48113011003,Living Wage,Living Wage Occupations,-0.1117750378,-0.1028335967,-0.5SD ~ +0.5SD
160949,48113011004,Living Wage,Living Wage Occupations,0.1331507838,0.1568828129,-0.5SD ~ +0.5SD
162247,48113012603,Living Wage,Living Wage Occupations,-0.3862356616,-0.3469637358,-0.5SD ~ +0.5SD
