tractid,frompre60,frompregravity,frompost60,frompostgravity,topre60,topregravity,topost60,topostgravity
36047059402,1186122.0,662.3620435099292,1348574.0,726.7849351348988,995035.0,956.2964612740476,1436072.0,1114.8057081122502
36047043600,1520634.0,925.3616455330464,1624233.0,962.3592809263528,1122450.0,967.9243825665436,1524053.0,1113.0499082834117
36047057200,735580.0,434.1450058515478,873013.0,486.9844661315276,994942.0,1007.9130809226048,1440888.0,1168.4060837440577
36047050202,3264629.0,1552.1201533404546,3304231.0,1581.5585570018886,1778421.0,1288.2225216502272,2010453.0,1400.0876764278528
36047050400,3083583.0,1447.4122150700991,3154110.0,1479.978918316123,1648771.0,1408.6217887370926,1922810.0,1514.0728596440597
36047050500,3877168.0,2758.211658129012,3938898.0,2779.765373385889,2342905.0,2020.091950450704,2428435.0,2058.128673733834
36047050600,3407616.0,1962.5757508692363,3616395.0,2043.8987899393856,1773625.0,1593.059682453061,2149792.0,1752.1204361903929
36047050700,3862027.0,2998.059363648441,3904545.0,3013.725219485725,2359303.0,1848.9390759443536,2448506.0,1891.932089781759
36047051100,3958937.0,2981.192347379797,3988624.0,2991.9939766179627,2800764.0,2442.2551211292475,2804895.0,2447.408572692915
36047051200,3356934.0,1835.980276984648,3554475.0,1917.475981397983,1943209.0,1756.5827660001378,2298402.0,1922.0544875745709
36047075000,2531432.0,1216.387841820389,2893718.0,1401.771309446558,1398596.0,1210.9759998134302,1612144.0,1382.593443118049
36047018800,1384420.0,742.1014133318341,1552039.0,808.8532428969138,1012758.0,1114.5270686764577,1463326.0,1299.1489236891698
36047025800,2325422.0,1069.361786406635,2436716.0,1111.709867692801,963673.0,960.2685038902736,1165662.0,1030.7100973969757
36047049500,3792006.0,2921.023967210343,3889010.0,2956.0504981973936,2733149.0,2219.4923457223235,2817173.0,2252.496606761909
36047088800,1681029.0,776.4064198796875,3221599.0,1363.8309120710298,1429996.0,1381.2926978130097,2071657.0,1712.3466309885082
36047011800,3005945.0,1558.6115121214204,3397930.0,1832.1548119379736,1581550.0,1198.4872166430332,2198878.0,1736.5899373766524
36047053200,3040268.0,1602.6432281187467,3341221.0,1763.1978709877585,1544696.0,1362.0472657675498,2072183.0,1764.8925975616817
36047022900,3652223.0,1995.5053521285831,3655594.0,1997.0563058213552,2413215.0,2019.8724482841192,2445993.0,2054.654037048281
36047040100,3353518.0,1623.1530162994611,3754655.0,1802.6195327140715,2000813.0,1658.6504370224616,2400008.0,1890.8838869703009
36047112000,1684803.0,784.4357231252955,2839960.0,1232.7843066609198,1675484.0,1245.5923838175613,2101800.0,1487.5385757371696
36047058600,2473577.0,1304.5260748619987,2809952.0,1447.0457666885304,1499464.0,1281.9231059887682,1982466.0,1533.0712590510338
36047005800,2016083.0,909.5053817198994,2145484.0,956.3483953232594,1459915.0,1128.1774250107756,1753155.0,1253.5167920674485
36047014000,2404129.0,1023.6949519270212,2619969.0,1120.857984150722,1120968.0,887.2748720801085,1530392.0,1074.5698274353513
36047014800,2382193.0,1019.3829455803136,2528075.0,1073.624307373883,987615.0,831.1298071158919,1298738.0,945.28028447243
36047064200,2325885.0,1145.9507535032867,2526786.0,1228.7570054034468,1203706.0,1033.6604489154586,1607286.0,1209.5586181268468
36047030900,3142199.0,1606.5162461206585,3272890.0,1675.378753891419,2103255.0,1655.8728176791624,2324444.0,1801.544917813884
36047082400,3408430.0,1812.671021540909,3611628.0,1905.5717474426808,2128926.0,1908.6259950850497,2309761.0,1984.5034179486056
36047021500,3645586.0,2069.9992675133108,3683117.0,2083.9891458472584,2222553.0,1884.5158879464611,2362223.0,1935.900606623647
