restractid,cat,wac
36047018400,WAC1-10,907.0
36047018501,WAC1-10,1178.0
36047018600,WAC1-10,675.0
36047018700,WAC1-10,2170.0
36047018800,WAC1-10,2143.0
36047019000,WAC1-10,2835.0
36047019100,WAC1-10,2152.0
36047019200,WAC1-10,9593.0
36047019300,WAC1-10,2894.0
36047019400,WAC1-10,7377.0
36047019500,WAC1-10,3728.0
36047019600,WAC1-10,1760.0
36047019700,WAC1-10,1342.0
36047019800,WAC1-10,936.0
36047019900,WAC1-10,1525.0
36047020000,WAC1-10,1128.0
36047020100,WAC1-10,1353.0
36047020200,WAC1-10,1128.0
36047020300,WAC1-10,1816.0
36047020400,WAC1-10,386.0
36047020500,WAC1-10,3972.0
36047020600,WAC1-10,851.0
36047020700,WAC1-10,2606.0
36047020800,WAC1-10,1145.0
36047021000,WAC1-10,2775.0
36047021100,WAC1-10,1170.0
36047021200,WAC1-10,2358.0
36047021300,WAC1-10,1313.0
36047021400,WAC1-10,5403.0
36047021500,WAC1-10,1855.0
36047021600,WAC1-10,5009.0
36047021700,WAC1-10,1528.0
36047021800,WAC1-10,6750.0
36047021900,WAC1-10,1664.0
36047022000,WAC1-10,8766.0
36047022100,WAC1-10,1677.0
36047022200,WAC1-10,6097.0
36047022400,WAC1-10,5852.0
36047022600,WAC1-10,6165.0
36047022700,WAC1-10,883.0
36047022800,WAC1-10,7574.0
36047022900,WAC1-10,959.0
36047023000,WAC1-10,10470.0
36047023100,WAC1-10,807.0
36047023200,WAC1-10,6438.0
36047023300,WAC1-10,957.0
36047023400,WAC1-10,6898.0
36047023500,WAC1-10,3041.0
36047023600,WAC1-10,7524.0
36047023800,WAC1-10,5221.0
36047024000,WAC1-10,5003.0
36047024100,WAC1-10,1575.0
36047024200,WAC1-10,7829.0
36047024300,WAC1-10,874.0
36047024400,WAC1-10,2552.0
36047024500,WAC1-10,1462.0
36047024600,WAC1-10,1040.0
36047024700,WAC1-10,2170.0
36047024800,WAC1-10,2949.0
36047024900,WAC1-10,2294.0
36047025000,WAC1-10,7324.0
36047025100,WAC1-10,836.0
36047025200,WAC1-10,3427.0
36047025300,WAC1-10,1352.0
36047025400,WAC1-10,1138.0
36047025500,WAC1-10,3840.0
36047025600,WAC1-10,1233.0
36047025700,WAC1-10,3384.0
36047025800,WAC1-10,1123.0
36047025901,WAC1-10,792.0
36047025902,WAC1-10,715.0
36047026000,WAC1-10,1705.0
36047026100,WAC1-10,754.0
36047026200,WAC1-10,3633.0
36047026300,WAC1-10,798.0
36047026400,WAC1-10,2455.0
36047026500,WAC1-10,615.0
36047026600,WAC1-10,1114.0
36047026700,WAC1-10,1428.0
36047026800,WAC1-10,1504.0
36047026900,WAC1-10,1995.0
36047027000,WAC1-10,1525.0
36047027100,WAC1-10,2506.0
36047027200,WAC1-10,952.0
36047027300,WAC1-10,2300.0
36047027400,WAC1-10,1678.0
36047027500,WAC1-10,586.0
36047027600,WAC1-10,2673.0
36047027700,WAC1-10,769.0
36047027800,WAC1-10,2785.0
36047027900,WAC1-10,751.0
36047028000,WAC1-10,1335.0
36047028100,WAC1-10,740.0
36047028200,WAC1-10,1379.0
36047028300,WAC1-10,1165.0
36047028400,WAC1-10,2427.0
36047028501,WAC1-10,2296.0
36047028502,WAC1-10,1752.0
36047028600,WAC1-10,865.0
36047028700,WAC1-10,595.0
36047028800,WAC1-10,2036.0
36047028900,WAC1-10,951.0
36047029000,WAC1-10,2490.0
36047029100,WAC1-10,673.0
36047029200,WAC1-10,1951.0
36047029300,WAC1-10,523.0
36047029400,WAC1-10,1583.0
36047029500,WAC1-10,390.0
36047029600,WAC1-10,2431.0
36047029700,WAC1-10,472.0
36047029800,WAC1-10,1863.0
36047029900,WAC1-10,1653.0
36047030000,WAC1-10,1519.0
36047030100,WAC1-10,1201.0
36047030200,WAC1-10,1519.0
36047030300,WAC1-10,771.0
36047030400,WAC1-10,768.0
36047030500,WAC1-10,1965.0
36047030600,WAC1-10,872.0
36047030700,WAC1-10,756.0
36047030800,WAC1-10,541.0
36047030900,WAC1-10,2455.0
36047031100,WAC1-10,2634.0
36047031300,WAC1-10,1530.0
36047031400,WAC1-10,489.0
36047031500,WAC1-10,1954.0
36047031701,WAC1-10,1501.0
36047031702,WAC1-10,1286.0
36047031900,WAC1-10,1397.0
36047032100,WAC1-10,1260.0
36047032300,WAC1-10,1456.0
36047032500,WAC1-10,1591.0
36047032600,WAC1-10,1346.0
36047032700,WAC1-10,1604.0
36047032800,WAC1-10,828.0
36047032900,WAC1-10,1419.0
36047033000,WAC1-10,93.0
36047033100,WAC1-10,1789.0
36047033300,WAC1-10,2278.0
36047033500,WAC1-10,2350.0
36047033600,WAC1-10,223.0
36047033700,WAC1-10,1998.0
36047033900,WAC1-10,1480.0
36047034000,WAC1-10,1539.0
36047034100,WAC1-10,1167.0
36047034200,WAC1-10,1163.0
36047034300,WAC1-10,1099.0
36047034500,WAC1-10,940.0
36047034700,WAC1-10,1002.0
36047034800,WAC1-10,1162.0
36047034900,WAC1-10,990.0
36047035000,WAC1-10,964.0
36047035100,WAC1-10,1018.0
36047035200,WAC1-10,1008.0
36047035300,WAC1-10,1394.0
36047035400,WAC1-10,1074.0
36047035500,WAC1-10,1126.0
36047035601,WAC1-10,729.0
36047035602,WAC1-10,1192.0
36047035700,WAC1-10,980.0
36047035900,WAC1-10,627.0
36047036001,WAC1-10,1508.0
36047036002,WAC1-10,1609.0
36047036100,WAC1-10,893.0
36047036200,WAC1-10,4794.0
36047036300,WAC1-10,765.0
36047036400,WAC1-10,4257.0
36047036501,WAC1-10,673.0
36047036502,WAC1-10,4182.0
36047036600,WAC1-10,4179.0
36047036700,WAC1-10,4268.0
36047036900,WAC1-10,2307.0
36047037000,WAC1-10,4324.0
36047037100,WAC1-10,783.0
36047037300,WAC1-10,1211.0
36047037401,WAC1-10,825.0
36047037402,WAC1-10,683.0
36047037500,WAC1-10,1839.0
36047037700,WAC1-10,489.0
36047037900,WAC1-10,539.0
36047038100,WAC1-10,435.0
36047038200,WAC1-10,799.0
36047038300,WAC1-10,355.0
36047038500,WAC1-10,1646.0
36047038600,WAC1-10,1414.0
36047038700,WAC1-10,1979.0
36047038800,WAC1-10,1538.0
36047038900,WAC1-10,1831.0
36047039000,WAC1-10,1182.0
36047039100,WAC1-10,1297.0
36047039200,WAC1-10,1718.0
36047039300,WAC1-10,1552.0
36047039400,WAC1-10,1757.0
36047039500,WAC1-10,798.0
36047039600,WAC1-10,1894.0
36047039700,WAC1-10,2049.0
36047039800,WAC1-10,1670.0
36047039900,WAC1-10,1771.0
36047040000,WAC1-10,2101.0
36047040100,WAC1-10,908.0
36047040200,WAC1-10,1559.0
36047040300,WAC1-10,838.0
36047040400,WAC1-10,1125.0
36047040500,WAC1-10,712.0
36047040600,WAC1-10,1370.0
36047040700,WAC1-10,294.0
36047040800,WAC1-10,820.0
36047040900,WAC1-10,540.0
36047041000,WAC1-10,3587.0
36047041100,WAC1-10,499.0
36047041200,WAC1-10,3459.0
36047041300,WAC1-10,230.0
36047041401,WAC1-10,3361.0
36047041402,WAC1-10,1663.0
36047041500,WAC1-10,249.0
36047041600,WAC1-10,1561.0
36047041700,WAC1-10,313.0
36047041800,WAC1-10,3778.0
36047041900,WAC1-10,1523.0
36047042000,WAC1-10,4183.0
36047042100,WAC1-10,2047.0
36047042200,WAC1-10,1576.0
36047042300,WAC1-10,1297.0
36047042400,WAC1-10,3138.0
36047042500,WAC1-10,1881.0
36047042600,WAC1-10,1507.0
36047042700,WAC1-10,2886.0
36047042800,WAC1-10,2014.0
36047042900,WAC1-10,1854.0
36047043000,WAC1-10,2098.0
36047043100,WAC1-10,2434.0
36047043200,WAC1-10,2015.0
36047043300,WAC1-10,3742.0
36047043400,WAC1-10,2153.0
36047043500,WAC1-10,755.0
36047043600,WAC1-10,2109.0
36047043700,WAC1-10,633.0
36047043800,WAC1-10,1272.0
36047043900,WAC1-10,3443.0
36047044000,WAC1-10,1102.0
36047044100,WAC1-10,6928.0
36047044200,WAC1-10,2935.0
36047044300,WAC1-10,4026.0
36047044400,WAC1-10,997.0
36047044500,WAC1-10,5647.0
36047044600,WAC1-10,1894.0
36047044700,WAC1-10,4634.0
36047044800,WAC1-10,439.0
36047044900,WAC1-10,2931.0
36047045000,WAC1-10,1126.0
36047045200,WAC1-10,991.0
36047045300,WAC1-10,3019.0
36047045400,WAC1-10,8323.0
36047045600,WAC1-10,3733.0
36047045800,WAC1-10,3184.0
36047046000,WAC1-10,3842.0
36047046201,WAC1-10,1635.0
36047046202,WAC1-10,1410.0
36047046400,WAC1-10,1525.0
36047046800,WAC1-10,710.0
36047047000,WAC1-10,2663.0
36047047200,WAC1-10,2065.0
36047047400,WAC1-10,2406.0
36047047600,WAC1-10,5411.0
36047047700,WAC1-10,2805.0
36047047800,WAC1-10,4817.0
36047048000,WAC1-10,4492.0
36047048100,WAC1-10,3572.0
36047048200,WAC1-10,4060.0
36047048400,WAC1-10,3985.0
36047048500,WAC1-10,2954.0
36047048600,WAC1-10,5089.0
36047048800,WAC1-10,6455.0
36047048900,WAC1-10,3687.0
36047049000,WAC1-10,1859.0
36047049100,WAC1-10,4522.0
36047049200,WAC1-10,1316.0
36047049300,WAC1-10,1573.0
36047049400,WAC1-10,4139.0
36047049500,WAC1-10,2175.0
36047049600,WAC1-10,7597.0
36047049700,WAC1-10,3995.0
36047049800,WAC1-10,530.0
36047049900,WAC1-10,2040.0
36047050000,WAC1-10,3539.0
36047050100,WAC1-10,3318.0
36047050202,WAC1-10,384.0
36047050300,WAC1-10,2952.0
36047050400,WAC1-10,1832.0
36047050500,WAC1-10,1418.0
36047050600,WAC1-10,1781.0
36047050700,WAC1-10,6697.0
36047050801,WAC1-10,2991.0
36047050803,WAC1-10,1594.0
36047050804,WAC1-10,1296.0
36047050900,WAC1-10,9188.0
36047051001,WAC1-10,1698.0
36047051002,WAC1-10,2834.0
36047051100,WAC1-10,4746.0
36047051200,WAC1-10,1452.0
36047051300,WAC1-10,3482.0
36047051400,WAC1-10,1000.0
36047051500,WAC1-10,3337.0
36047051601,WAC1-10,823.0
36047051602,WAC1-10,1257.0
36047051700,WAC1-10,5411.0
36047051800,WAC1-10,1505.0
36047051900,WAC1-10,4899.0
36047052000,WAC1-10,1873.0
36047052300,WAC1-10,4850.0
36047052500,WAC1-10,14168.0
36047052600,WAC1-10,3496.0
36047052700,WAC1-10,4884.0
36047052800,WAC1-10,3217.0
36047052900,WAC1-10,6363.0
36047053000,WAC1-10,3649.0
36047053100,WAC1-10,4690.0
36047053200,WAC1-10,3578.0
36047053300,WAC1-10,8166.0
36047053400,WAC1-10,4078.0
36047053500,WAC1-10,12712.0
36047053700,WAC1-10,7332.0
36047053800,WAC1-10,7823.0
36047053900,WAC1-10,4550.0
36047054200,WAC1-10,4512.0
36047054300,WAC1-10,1426.0
36047054400,WAC1-10,6168.0
36047054500,WAC1-10,1623.0
36047054600,WAC1-10,3666.0
36047054700,WAC1-10,10067.0
36047054800,WAC1-10,1546.0
36047054900,WAC1-10,10217.0
36047055000,WAC1-10,5066.0
36047055100,WAC1-10,10987.0
36047055200,WAC1-10,6629.0
36047055300,WAC1-10,5665.0
36047055400,WAC1-10,8656.0
36047055500,WAC1-10,4517.0
36047055600,WAC1-10,6078.0
36047055700,WAC1-10,5229.0
36047055800,WAC1-10,1516.0
36047056000,WAC1-10,1263.0
36047056100,WAC1-10,3451.0
36047056200,WAC1-10,838.0
36047056300,WAC1-10,1488.0
36047056400,WAC1-10,968.0
36047056500,WAC1-10,2991.0
36047056600,WAC1-10,1484.0
36047056800,WAC1-10,976.0
36047056900,WAC1-10,2812.0
36047057000,WAC1-10,1435.0
36047057100,WAC1-10,2313.0
36047057200,WAC1-10,1308.0
36047057300,WAC1-10,2546.0
36047057400,WAC1-10,1430.0
36047057500,WAC1-10,2505.0
36047057600,WAC1-10,1622.0
